index,brand,gender,size,title,category,size_detail
10,Uniqlo,female,"[""M"", ""L"", ""XL""]",울트라심리스쇼츠(힙허거)16FW,쇼츠·바디쉐이퍼,"[{""엉덩이둘레(신체치수)"": ""88~94"", ""사이드길이"": ""9.5""}, {""엉덩이둘레(신체치수)"": ""94~100"", ""사이드길이"": ""10.5""}, {""엉덩이둘레(신체치수)"": ""100~106"", ""사이드길이"": ""11.5""}]"
11,Uniqlo,female,"[""XS"", ""S"", ""M"", ""L"", ""XL""]",와이어리스브라(뷰티라이트)16FW,와이어리스브라,"[{""가슴너비(신체치수)"": ""74~80""}, {""가슴너비(신체치수)"": ""77~83""}, {""가슴너비(신체치수)"": ""80~86""}, {""가슴너비(신체치수)"": ""86~92""}, {""가슴너비(신체치수)"": ""92~98""}]"
12,Uniqlo,male,"[""S"", ""M"", ""L"", ""XL""]",AIRism메쉬크루넥T(반팔),AIRism,"[{""가슴너비"": ""43.5"", ""어깨길이"": ""39.5"", ""전체길이A"": ""66"", ""소매길이"": ""15.5""}, {""가슴너비"": ""46.5"", ""어깨길이"": ""41"", ""전체길이A"": ""69"", ""소매길이"": ""16.5""}, {""가슴너비"": ""49.5"", ""어깨길이"": ""42.5"", ""전체길이A"": ""72"", ""소매길이"": ""18""}, {""가슴너비"": ""53.5"", ""어깨길이"": ""44.5"", ""전체길이A"": ""75"", ""소매길이"": ""19""}]"
13,Uniqlo,male,"[""M"", ""L"", ""XL"", ""XXL""]",AIRism메쉬복서브리프(로라이즈),트렁크스·브리프,"[{""허리둘레(신체)"": ""76~84"", ""사이드길이"": ""20""}, {""허리둘레(신체)"": ""84~92"", ""사이드길이"": ""20.5""}, {""허리둘레(신체)"": ""92~100"", ""사이드길이"": ""22""}, {""허리둘레(신체)"": ""100~108"", ""사이드길이"": ""23.5""}]"
14,Uniqlo,male,"[""S"", ""M"", ""L"", ""XL"", ""XXL""]",AIRism심리스V넥T(반팔),AIRism,"[{""가슴너비"": ""43"", ""어깨길이"": ""39.5"", ""전체길이A"": ""66"", ""소매길이"": ""14.5"", ""목파임"": ""19.5""}, {""가슴너비"": ""46"", ""어깨길이"": ""41"", ""전체길이A"": ""69"", ""소매길이"": ""15.5"", ""목파임"": ""20""}, {""가슴너비"": ""49"", ""어깨길이"": ""42.5"", ""전체길이A"": ""72"", ""소매길이"": ""17"", ""목파임"": ""20.5""}, {""가슴너비"": ""53"", ""어깨길이"": ""44.5"", ""전체길이A"": ""75"", ""소매길이"": ""18"", ""목파임"": ""21""}, {""가슴너비"": ""57"", ""어깨길이"": ""46.5"", ""전체길이A"": ""77"", ""소매길이"": ""18"", ""목파임"": ""21.5""}]"
15,Uniqlo,female,"[""S"", ""M"", ""L"", ""XL"", ""XXL"", ""3XL""]",AIRism레이서백브라탱크탑,AIRism,"[{""가슴너비"": ""35""}, {""가슴너비"": ""37""}, {""가슴너비"": ""39.5""}, {""가슴너비"": ""42""}, {""가슴너비"": ""45""}, {""가슴너비"": ""48""}]"
16,Uniqlo,female,"[""S"", ""M"", ""L"", ""XL"", ""XXL"", ""3XL""]",AIRism U넥T(반팔)16SS,AIRism,"[{""가슴너비"": ""34"", ""어깨길이"": ""31"", ""전체길이A"": ""55"", ""소매길이"": ""12.5""}, {""가슴너비"": ""36"", ""어깨길이"": ""32"", ""전체길이A"": ""57.5"", ""소매길이"": ""12.5""}, {""가슴너비"": ""38"", ""어깨길이"": ""33"", ""전체길이A"": ""59.5"", ""소매길이"": ""13""}, {""가슴너비"": ""40"", ""어깨길이"": ""34.5"", ""전체길이A"": ""61.5"", ""소매길이"": ""13.5""}, {""가슴너비"": ""42"", ""어깨길이"": ""35.5"", ""전체길이A"": ""63.5"", ""소매길이"": ""14""}, {""가슴너비"": ""44"", ""어깨길이"": ""36.5"", ""전체길이A"": ""65.5"", ""소매길이"": ""14.5""}]"
17,Uniqlo,male,"[""M"", ""L"", ""XL"", ""XXL""]",AIRism메쉬복서브리프(레귤러라이즈),트렁크스·브리프,"[{""허리둘레(신체)"": ""76~84"", ""사이드길이"": ""27.5""}, {""허리둘레(신체)"": ""84~92"", ""사이드길이"": ""29.5""}, {""허리둘레(신체)"": ""92~100"", ""사이드길이"": ""31.5""}, {""허리둘레(신체)"": ""100~108"", ""사이드길이"": ""33.5""}]"
18,Uniqlo,male,"[""S"", ""M"", ""L"", ""XL""]",AIRism크루넥T(반팔)16SS,AIRism,"[{""가슴너비"": ""42.5"", ""어깨길이"": ""39"", ""전체길이A"": ""66"", ""소매길이"": ""15.5""}, {""가슴너비"": ""45.5"", ""어깨길이"": ""40.5"", ""전체길이A"": ""69"", ""소매길이"": ""17""}, {""가슴너비"": ""48.5"", ""어깨길이"": ""42"", ""전체길이A"": ""72"", ""소매길이"": ""18""}, {""가슴너비"": ""52.5"", ""어깨길이"": ""44"", ""전체길이A"": ""75"", ""소매길이"": ""19""}]"
19,Uniqlo,male,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""XXXL""]",조거슬림피트진16FW,진,"[{""허리둘레(신체)"": ""66~72"", ""엉덩이둘레"": ""90"", ""밑위길이"": ""23"", ""허벅지폭"": ""27"", ""밑단폭"": ""14""}, {""허리둘레(신체)"": ""68~76"", ""엉덩이둘레"": ""96"", ""밑위길이"": ""24"", ""허벅지폭"": ""29"", ""밑단폭"": ""15""}, {""허리둘레(신체)"": ""76~84"", ""엉덩이둘레"": ""102"", ""밑위길이"": ""25"", ""허벅지폭"": ""31"", ""밑단폭"": ""16""}, {""허리둘레(신체)"": ""84~92"", ""엉덩이둘레"": ""108"", ""밑위길이"": ""25.8"", ""허벅지폭"": ""32"", ""밑단폭"": ""16.5""}, {""허리둘레(신체)"": ""92~100"", ""엉덩이둘레"": ""116"", ""밑위길이"": ""26.6"", ""허벅지폭"": ""35"", ""밑단폭"": ""17.5""}, {""허리둘레(신체)"": ""100~108"", ""엉덩이둘레"": ""122"", ""밑위길이"": ""27.6"", ""허벅지폭"": ""38"", ""밑단폭"": ""18""}, {""허리둘레(신체)"": ""108~116"", ""엉덩이둘레"": ""128"", ""밑위길이"": ""28.6"", ""허벅지폭"": ""40"", ""밑단폭"": ""19""}]"
